CTRY,YEAR,AREA,URBPOP,TPOP,GDP
Algeria,1980,2381740,6529146,17831188,42345276288
Algeria,1990,2381740,9885877,24671419,62045098370
Algeria,2000,2381740,14267969,30267029,54790058957
Algeria,2010,2381740,19762046,35978000,161979441019
Angola,1980,1246700,1539917,7440366,NA
Angola,2000,1246700,4170797,13828340,4155711074
Angola,2010,1246700,10248991,20548716,80856694812
Angola ,1990,1246700,2592469,9840995,10260193361
Benin,1980,112760,806259,3460215,1405251844
Benin,1990,112760,1257137,4689335,1959965331
Benin,2000,112760,1981914,6411378,2359122303
Benin,2010,112760,3287193,9033485,6558416322
Botswana,1980,566730,246851,895081,1060889705
Botswana,1990,566730,518388,1277591,3790636664
Botswana,2000,566730,799876,1637692,5632594711
Botswana,2010,566730,1052310,1995462,14904834649
Burkina Faso,1980,273600,708492,6597870,1928719884
Burkina Faso,1990,273600,1395280,8862969,3101300779
Burkina Faso,2000,273600,2422327,11415598,2610959139
Burkina Faso,2010,273600,4080743,16468714,9209288383
Burundi,1980,25680,178587,4128349,919726667
Burundi,1990,25680,281659,5292793,1132101253
Burundi,2000,25680,448881,6665688,835334807
Burundi,2010,25680,178587,8444785,2026862708
Cape Verde,1980,4030,77735,295703,142246876
Cape Verde,1990,4030,108753,355278,306891107
Cape Verde,2000,4030,169796,434812,539227053
Cape Verde,2010,4030,229588,491875,1659053271
Cameroon,1980,472710,2176050,8201089,6740757493
Cameroon,1990,472710,3932882,11475946,11151578703
Cameroon,2000,472710,5809355,15113429,9287367569
Cameroon,2010,472710,10052556,19734760,22426024466
Central African Republic,1980,622980,628286,2300073,797048197
Central African Republic,1990,622980,878147,2800182,1487506714
Central African Republic,2000,622980,1211819,3627394,914401257
Central African Republic,2010,622980,1594232,4513932,1986015820
Chad,1980,1259200,582731,4387191,1033002402
Chad,1990,1259200,971608,5766352,1738605558
Chad,2000,1259200,1550601,8173180,1385058212
Chad,2010,1259200,2890553,11755309,8540674846
Comoros,1980,1659,33767,335150,123505661
Comoros,1990,1659,51690,435248,250030778
Comoros,2000,1659,140906,550391,201899884
Comoros,2010,1659,185164,734515,543353412
Cote d`Ivoire,1980,318000,2668800,8041949,10175617589
Cote d`Ivoire,1990,318000,4569060,11537543,10795850585
Cote d`Ivoire,2000,318000,6881953,15619748,10417060605
Cote d`Ivoire,2010,318000,9617876,20596863,22920779597
Democratic Republic of the Congo,1980,2267050,6828476,27618390,14394927493
Democratic Republic of the Congo,1990,2267050,10485198,36676308,9349764581
Democratic Republic of the Congo,2000,2267050,13762097,48004592,4305296502
Democratic Republic of the Congo,2010,2267050,21370873,62500000,13107979826
Djibouti,1980,23180,183954,244613,NA
Djibouti,1990,23180,273557,340282,452328105
Djibouti,2000,23180,390883,475899,551230862
Djibouti,2010,23180,593127,841067,NA
Egypt,1980,995450,15492572,40577980,22912499712
Egypt,1990,995450,21335631,51996257,43130415154
Egypt,2000,995450,26669671,63849886,99838540997
Egypt,2010,995450,39550630,79691191,218894280920
Equatorial Guinea,1980,28050,73000,290815,NA
Equatorial Guinea,1990,28050,91728,356282,132134192
Equatorial Guinea,2000,28050,353010,886749,1242848857
Equatorial Guinea,2010,28050,443062,1143891,14500472162
Eritrea,1980,101000,384324,2429200,NA
Eritrea,1990,101000,495800,3219800,NA
Eritrea,2000,101000,747683,2841169,633600000
Eritrea,2010,101000,942952,4056465,2117008130
Ethiopia,1980,1000000,2343023,35259139,NA
Ethiopia,1990,1000000,3771576,48459134,12082576935
Ethiopia,2000,1000000,6179469,61998962,8110734420
Ethiopia,2010,1000000,11159216,81749143,26575263836
Gabon,1980,257670,233802,789978,4279637934
Gabon,1990,257670,511361,935003,5952293766
Gabon,2000,257670,857707,1330612,5067865503
Gabon,2010,257670,1226431,1701217,13199637410
Ghana,1980,227540,2491755,11028695,4445228031
Ghana,1990,227540,3647239,14240129,5889175898
Ghana,2000,227540,6241045,18412247,4982849054
Ghana,2010,227540,11502444,24223431,32174839713
Guinea,1980,245720,950388,5444500,NA
Guinea,1990,245720,1629369,6476319,2666616177
Guinea,2000,245720,2411240,7777717,2995360969
Guinea,2010,245720,3319151,9769195,4735956476
Guinea-Bissau,1980,28120,129396,784577,110653831
Guinea-Bissau,1990,28120,210809,952106,243961995
Guinea-Bissau,2000,28120,329992,1187876,215456618
Guinea-Bissau,2010,28120,470351,1516625,835390893
Kenya,1980,569140,1633712,15850495,7265315332
Kenya,1990,569140,2633996,22076819,8572359163
Kenya,2000,569140,5742400,29551624,12705350153
Kenya,2010,569140,11555609,39434612,32198151217
